timestamp,project_name,total_tokens,ocl_retry_count,self_test_pass_rate,avg_cc,avg_mi,chromadb_hits
2026-05-30 12:22:11,ArXiv_digest,30249,0,80.0,1.43,100.0,0
2026-05-30 12:24:27,Hybrid_Images,21172,3,50.0,1.25,88.41,0
2026-05-30 12:28:00,TextCNN,0,0,0.0,0.0,0.0,0
2026-05-30 12:30:29,chakin,25298,1,75.0,2.67,93.92,0
2026-05-30 12:33:57,geotext,43629,3,75.0,1.0,100.0,0
2026-05-30 12:36:38,hone,47323,3,55.56,1.4,100.0,0
2026-05-30 12:39:59,lice,39096,0,33.33,1.4,100.0,2
2026-05-30 12:42:13,particle-swarm-optimization,37252,0,50.0,1.25,100.0,0
2026-05-30 12:44:22,readtime,37691,1,83.33,1.5,94.95,0
2026-05-30 12:46:23,stocktrends,43575,0,75.0,1.0,100.0,0
